ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.160465956,195.7123379,22636.78563,7.235746307,336.794067,424.3967111,14.37617768,68.10588814,3.991681224,1
7.1877379,193.2022373,21263.02808,7.117408938,333.9971609,430.1634045,14.20692792,64.80770251,3.957064008,0
5.400301781,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.93190645,4.82478639,0
7.078913378,196.8865578,21539.18568,7.104866682,335.2234055,429.4003328,14.34426136,65.28976478,3.909316943,0
7.052283063,194.9715227,21659.46873,7.101790141,335.6699034,425.6208218,14.10079363,66.17850434,3.989340449,0
7.163458093,195.749676,22395.70776,7.261155846,333.2472127,423.4813458,14.28990943,67.94182261,4.011314309,1
6.884981084,138.4401107,14893.2064,9.686434798,319.1349905,286.9215581,14.1840361,54.55907655,4.58431918,1
7.035040401,196.3339225,21248.89058,7.116868293,335.2842777,428.5299969,14.17094377,65.94963976,3.949511282,0
7.041583568,194.5452004,22289.60833,7.348172389,335.5573589,427.5790161,14.38270109,67.45449821,4.01139348,1
9.519659984,204.0809451,17258.18835,6.154072581,310.7162936,395.6985382,17.06138947,44.27337877,3.994556136,0
7.197123418,195.3619709,21272.26585,7.22305588,334.7245787,428.5247713,14.48183997,67.5525777,3.915592465,0
7.176221636,197.2272259,22426.13339,7.088845453,328.7680113,424.3790656,14.57033771,65.24033028,4.005229224,1
7.145275504,195.2039077,21537.21453,7.15645232,334.2698829,431.5419292,14.28364166,66.66225673,4.006770186,0
7.140511883,195.725432,21443.442,7.120157456,334.1655599,420.8325448,14.51882787,66.34818588,3.96750692,0
7.011412741,198.5740054,21301.05358,6.924760697,337.0497346,430.1990132,14.2513151,64.94859112,3.961929835,0
7.06172486,195.8409768,22108.09132,7.239844166,334.9211825,427.9821699,14.38193439,67.43193751,4.06288782,1
3.722500486,163.6397469,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,50.5779791,3.662837732,0
7.0772605,194.5605664,22719.95532,7.033982742,330.6514728,421.6800857,14.49437897,66.16493002,4.044717963,1
7.122343773,193.4414285,21826.90791,7.316506364,331.3587061,422.6721422,14.38374725,67.27461673,4.015222309,1
7.017744578,197.2274677,22243.98506,7.195855476,331.3924403,425.6665008,14.22314191,67.49011858,3.959080623,1
7.094607264,195.5881172,22716.71045,7.291059032,333.880035,434.4354345,14.35445539,66.91280736,4.040533541,1
